tanggal_id,tanggal,deskripsi_tanggal_lengkap,hari_dalam_minggu,nomor_hari_dalam_bulan,nomor_hari_dalam_tahun,nomor_hari_dalam_bulan_fiskal,nomor_hari_dalam_tahun_fiskal,indikator_hari_terakhir_dalam_bulan,tanggal_akhir_minggu_kalender,nomor_minggu_dalam_tahun_kalender,nama_bulan_kalender,nomor_bulan_dalam_tahun_kalender,tahun_bulan_kalender,kuartal_kalender,tahun_kuartal_kalender,tahun_kalender,minggu_fiskal,nomor_minggu_dalam_tahun_fiskal,bulan_fiskal,nomor_bulan_dalam_tahun_fiskal,tahun_bulan_fiskal,kuartal_fiskal,tahun_kuartal_fiskal,setengah_tahun_fiskal,tahun_fiskal,indikator_hari_libur,indikator_hari_kerja,cap_waktu_sql
20240101,1/1/2024,"Januari 1, 2024",Senin,1,1,1,1,FALSE,1/7/2024,1,Januari,1,2024-01,Q1,2024-Q1,2024,FW01,1,FM01,1,FY2024-FM01,FQ1,FY2024-Q1,FY2024-H1,FY2024,TRUE,TRUE,2024-01-01
20240102,1/2/2024,"Januari 2, 2024",Selasa,2,2,2,2,FALSE,1/7/2024,1,Januari,1,2024-01,Q1,2024-Q1,2024,FW01,1,FM01,1,FY2024-FM01,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-01-02
20240103,1/3/2024,"Januari 3, 2024",Rabu,3,3,3,3,FALSE,1/7/2024,1,Januari,1,2024-01,Q1,2024-Q1,2024,FW01,1,FM01,1,FY2024-FM01,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-01-03
20240104,1/4/2024,"Januari 4, 2024",Kamis,4,4,4,4,FALSE,1/7/2024,1,Januari,1,2024-01,Q1,2024-Q1,2024,FW01,1,FM01,1,FY2024-FM01,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-01-04
20240105,1/5/2024,"Januari 5, 2024",Jumat,5,5,5,5,FALSE,1/7/2024,1,Januari,1,2024-01,Q1,2024-Q1,2024,FW01,1,FM01,1,FY2024-FM01,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-01-05
20240106,1/6/2024,"Januari 6, 2024",Sabtu,6,6,6,6,FALSE,1/7/2024,1,Januari,1,2024-01,Q1,2024-Q1,2024,FW01,1,FM01,1,FY2024-FM01,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,FALSE,2024-01-06
20240107,1/7/2024,"Januari 7, 2024",Minggu,7,7,7,7,FALSE,1/7/2024,1,Januari,1,2024-01,Q1,2024-Q1,2024,FW01,1,FM01,1,FY2024-FM01,FQ1,FY2024-Q1,FY2024-H1,FY2024,TRUE,FALSE,2024-01-07
20240108,1/8/2024,"Januari 8, 2024",Senin,8,8,8,8,FALSE,1/14/2024,2,Januari,1,2024-01,Q1,2024-Q1,2024,FW02,2,FM01,1,FY2024-FM01,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-01-08
20240109,1/9/2024,"Januari 9, 2024",Selasa,9,9,9,9,FALSE,1/14/2024,2,Januari,1,2024-01,Q1,2024-Q1,2024,FW02,2,FM01,1,FY2024-FM01,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-01-09
20240110,1/10/2024,"Januari 10, 2024",Rabu,10,10,10,10,FALSE,1/14/2024,2,Januari,1,2024-01,Q1,2024-Q1,2024,FW02,2,FM01,1,FY2024-FM01,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-01-10
20240111,1/11/2024,"Januari 11, 2024",Kamis,11,11,11,11,FALSE,1/14/2024,2,Januari,1,2024-01,Q1,2024-Q1,2024,FW02,2,FM01,1,FY2024-FM01,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-01-11
20240112,1/12/2024,"Januari 12, 2024",Jumat,12,12,12,12,FALSE,1/14/2024,2,Januari,1,2024-01,Q1,2024-Q1,2024,FW02,2,FM01,1,FY2024-FM01,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-01-12
20240113,1/13/2024,"Januari 13, 2024",Sabtu,13,13,13,13,FALSE,1/14/2024,2,Januari,1,2024-01,Q1,2024-Q1,2024,FW02,2,FM01,1,FY2024-FM01,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,FALSE,2024-01-13
20240114,1/14/2024,"Januari 14, 2024",Minggu,14,14,14,14,FALSE,1/14/2024,2,Januari,1,2024-01,Q1,2024-Q1,2024,FW02,2,FM01,1,FY2024-FM01,FQ1,FY2024-Q1,FY2024-H1,FY2024,TRUE,FALSE,2024-01-14
20240115,1/15/2024,"Januari 15, 2024",Senin,15,15,15,15,FALSE,1/21/2024,3,Januari,1,2024-01,Q1,2024-Q1,2024,FW03,3,FM01,1,FY2024-FM01,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-01-15
20240116,1/16/2024,"Januari 16, 2024",Selasa,16,16,16,16,FALSE,1/21/2024,3,Januari,1,2024-01,Q1,2024-Q1,2024,FW03,3,FM01,1,FY2024-FM01,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-01-16
20240117,1/17/2024,"Januari 17, 2024",Rabu,17,17,17,17,FALSE,1/21/2024,3,Januari,1,2024-01,Q1,2024-Q1,2024,FW03,3,FM01,1,FY2024-FM01,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-01-17
20240118,1/18/2024,"Januari 18, 2024",Kamis,18,18,18,18,FALSE,1/21/2024,3,Januari,1,2024-01,Q1,2024-Q1,2024,FW03,3,FM01,1,FY2024-FM01,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-01-18
20240119,1/19/2024,"Januari 19, 2024",Jumat,19,19,19,19,FALSE,1/21/2024,3,Januari,1,2024-01,Q1,2024-Q1,2024,FW03,3,FM01,1,FY2024-FM01,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-01-19
20240120,1/20/2024,"Januari 20, 2024",Sabtu,20,20,20,20,FALSE,1/21/2024,3,Januari,1,2024-01,Q1,2024-Q1,2024,FW03,3,FM01,1,FY2024-FM01,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,FALSE,2024-01-20
20240121,1/21/2024,"Januari 21, 2024",Minggu,21,21,21,21,FALSE,1/21/2024,3,Januari,1,2024-01,Q1,2024-Q1,2024,FW03,3,FM01,1,FY2024-FM01,FQ1,FY2024-Q1,FY2024-H1,FY2024,TRUE,FALSE,2024-01-21
20240122,1/22/2024,"Januari 22, 2024",Senin,22,22,22,22,FALSE,1/28/2024,4,Januari,1,2024-01,Q1,2024-Q1,2024,FW04,4,FM01,1,FY2024-FM01,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-01-22
20240123,1/23/2024,"Januari 23, 2024",Selasa,23,23,23,23,FALSE,1/28/2024,4,Januari,1,2024-01,Q1,2024-Q1,2024,FW04,4,FM01,1,FY2024-FM01,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-01-23
20240124,1/24/2024,"Januari 24, 2024",Rabu,24,24,24,24,FALSE,1/28/2024,4,Januari,1,2024-01,Q1,2024-Q1,2024,FW04,4,FM01,1,FY2024-FM01,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-01-24
20240125,1/25/2024,"Januari 25, 2024",Kamis,25,25,25,25,FALSE,1/28/2024,4,Januari,1,2024-01,Q1,2024-Q1,2024,FW04,4,FM01,1,FY2024-FM01,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-01-25
20240126,1/26/2024,"Januari 26, 2024",Jumat,26,26,26,26,FALSE,1/28/2024,4,Januari,1,2024-01,Q1,2024-Q1,2024,FW04,4,FM01,1,FY2024-FM01,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-01-26
20240127,1/27/2024,"Januari 27, 2024",Sabtu,27,27,27,27,FALSE,1/28/2024,4,Januari,1,2024-01,Q1,2024-Q1,2024,FW04,4,FM01,1,FY2024-FM01,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,FALSE,2024-01-27
20240128,1/28/2024,"Januari 28, 2024",Minggu,28,28,28,28,FALSE,1/28/2024,4,Januari,1,2024-01,Q1,2024-Q1,2024,FW04,4,FM01,1,FY2024-FM01,FQ1,FY2024-Q1,FY2024-H1,FY2024,TRUE,FALSE,2024-01-28
20240129,1/29/2024,"Januari 29, 2024",Senin,29,29,29,29,FALSE,2/4/2024,5,Januari,1,2024-01,Q1,2024-Q1,2024,FW05,5,FM01,1,FY2024-FM01,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-01-29
20240130,1/30/2024,"Januari 30, 2024",Selasa,30,30,30,30,FALSE,2/4/2024,5,Januari,1,2024-01,Q1,2024-Q1,2024,FW05,5,FM01,1,FY2024-FM01,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-01-30
20240131,1/31/2024,"Januari 31, 2024",Rabu,31,31,31,31,TRUE,2/4/2024,5,Januari,1,2024-01,Q1,2024-Q1,2024,FW05,5,FM01,1,FY2024-FM01,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-01-31
20240201,2/1/2024,"Februari 1, 2024",Kamis,1,32,32,32,FALSE,2/4/2024,5,Februari,2,2024-02,Q1,2024-Q1,2024,FW05,5,FM02,2,FY2024-FM02,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-02-01
20240202,2/2/2024,"Februari 2, 2024",Jumat,2,33,33,33,FALSE,2/4/2024,5,Februari,2,2024-02,Q1,2024-Q1,2024,FW05,5,FM02,2,FY2024-FM02,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-02-02
20240203,2/3/2024,"Februari 3, 2024",Sabtu,3,34,34,34,FALSE,2/4/2024,5,Februari,2,2024-02,Q1,2024-Q1,2024,FW05,5,FM02,2,FY2024-FM02,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,FALSE,2024-02-03
20240204,2/4/2024,"Februari 4, 2024",Minggu,4,35,35,35,FALSE,2/4/2024,5,Februari,2,2024-02,Q1,2024-Q1,2024,FW05,5,FM02,2,FY2024-FM02,FQ1,FY2024-Q1,FY2024-H1,FY2024,TRUE,FALSE,2024-02-04
20240205,2/5/2024,"Februari 5, 2024",Senin,5,36,36,36,FALSE,2/11/2024,6,Februari,2,2024-02,Q1,2024-Q1,2024,FW06,6,FM02,2,FY2024-FM02,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-02-05
20240206,2/6/2024,"Februari 6, 2024",Selasa,6,37,37,37,FALSE,2/11/2024,6,Februari,2,2024-02,Q1,2024-Q1,2024,FW06,6,FM02,2,FY2024-FM02,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-02-06
20240207,2/7/2024,"Februari 7, 2024",Rabu,7,38,38,38,FALSE,2/11/2024,6,Februari,2,2024-02,Q1,2024-Q1,2024,FW06,6,FM02,2,FY2024-FM02,FQ1,FY2024-Q1,FY2024-H1,FY2024,FALSE,TRUE,2024-02-07
20240208,2/8/2024,"Februari 8, 2024",Kamis,8,39,39,39,FALSE,2/11/2024,6,Februari,2,2024-02,Q1,2024-Q1,2024,FW06,6,FM02,2,FY2024-FM02,FQ1,FY2024-Q1,FY2024-H1,FY2024,TRUE,TRUE,2024-02-08
20240209,2/9/2024,"Februari 9, 2024",Jumat,9,40,40,40,FALSE,2/11/2024,6,Februari,2,2024-02,Q1,2024-Q1,2024,FW06,6,FM02,2,FY2024-FM02,FQ1,FY2024-Q1,FY2024-H1,FY2024,TRUE,TRUE,2024-02-09
