id_waktu,waktu
000,0:00
001,0:01
002,0:02
003,0:03
004,0:04
005,0:05
006,0:06
007,0:07
008,0:08
009,0:09
010,0:10
011,0:11
012,0:12
013,0:13
014,0:14
015,0:15
016,0:16
017,0:17
018,0:18
019,0:19
020,0:20
021,0:21
022,0:22
023,0:23
024,0:24
025,0:25
026,0:26
027,0:27
028,0:28
029,0:29
030,0:30
031,0:31
032,0:32
033,0:33
034,0:34
035,0:35
036,0:36
037,0:37
038,0:38
039,0:39
040,0:40
041,0:41
042,0:42
043,0:43
044,0:44
045,0:45
046,0:46
047,0:47
048,0:48
049,0:49
050,0:50
051,0:51
052,0:52
053,0:53
054,0:54
055,0:55
056,0:56
057,0:57
058,0:58
059,0:59
100,1:00
101,1:01
102,1:02
103,1:03
104,1:04
105,1:05
106,1:06
107,1:07
108,1:08
109,1:09
110,1:10
111,1:11
112,1:12
113,1:13
114,1:14
115,1:15
116,1:16
117,1:17
118,1:18
119,1:19
120,1:20
121,1:21
122,1:22
123,1:23
124,1:24
125,1:25
126,1:26
127,1:27
128,1:28
129,1:29
130,1:30
131,1:31
132,1:32
133,1:33
134,1:34
135,1:35
136,1:36
137,1:37
138,1:38
139,1:39
140,1:40
141,1:41
142,1:42
143,1:43
144,1:44
145,1:45
146,1:46
147,1:47
148,1:48
149,1:49
150,1:50
151,1:51
152,1:52
153,1:53
154,1:54
155,1:55
156,1:56
157,1:57
158,1:58
159,1:59
200,2:00
201,2:01
202,2:02
203,2:03
204,2:04
205,2:05
206,2:06
207,2:07
208,2:08
209,2:09
210,2:10
211,2:11
212,2:12
213,2:13
214,2:14
215,2:15
216,2:16
217,2:17
218,2:18
219,2:19
220,2:20
221,2:21
222,2:22
223,2:23
224,2:24
225,2:25
226,2:26
227,2:27
228,2:28
229,2:29
230,2:30
231,2:31
232,2:32
233,2:33
234,2:34
235,2:35
236,2:36
237,2:37
238,2:38
239,2:39
240,2:40
241,2:41
242,2:42
243,2:43
244,2:44
245,2:45
246,2:46
247,2:47
248,2:48
249,2:49
250,2:50
251,2:51
252,2:52
253,2:53
254,2:54
255,2:55
256,2:56
257,2:57
258,2:58
259,2:59
300,3:00
301,3:01
302,3:02
303,3:03
304,3:04
305,3:05
306,3:06
307,3:07
308,3:08
309,3:09
310,3:10
311,3:11
312,3:12
313,3:13
314,3:14
315,3:15
316,3:16
317,3:17
318,3:18
319,3:19
320,3:20
321,3:21
322,3:22
323,3:23
324,3:24
325,3:25
326,3:26
327,3:27
328,3:28
329,3:29
330,3:30
331,3:31
332,3:32
333,3:33
334,3:34
335,3:35
336,3:36
337,3:37
338,3:38
339,3:39
340,3:40
341,3:41
342,3:42
343,3:43
344,3:44
345,3:45
346,3:46
347,3:47
348,3:48
349,3:49
350,3:50
351,3:51
352,3:52
353,3:53
354,3:54
355,3:55
356,3:56
357,3:57
358,3:58
359,3:59
400,4:00
401,4:01
402,4:02
403,4:03
404,4:04
405,4:05
406,4:06
407,4:07
408,4:08
409,4:09
410,4:10
411,4:11
412,4:12
413,4:13
414,4:14
415,4:15
416,4:16
417,4:17
418,4:18
419,4:19
420,4:20
421,4:21
422,4:22
423,4:23
424,4:24
425,4:25
426,4:26
427,4:27
428,4:28
429,4:29
430,4:30
431,4:31
432,4:32
433,4:33
434,4:34
435,4:35
436,4:36
437,4:37
438,4:38
439,4:39
440,4:40
441,4:41
442,4:42
443,4:43
444,4:44
445,4:45
446,4:46
447,4:47
448,4:48
449,4:49
450,4:50
451,4:51
452,4:52
453,4:53
454,4:54
455,4:55
456,4:56
457,4:57
458,4:58
459,4:59
500,5:00
501,5:01
502,5:02
503,5:03
504,5:04
505,5:05
506,5:06
507,5:07
508,5:08
509,5:09
510,5:10
511,5:11
512,5:12
513,5:13
514,5:14
515,5:15
516,5:16
517,5:17
518,5:18
519,5:19
520,5:20
521,5:21
522,5:22
523,5:23
524,5:24
525,5:25
526,5:26
527,5:27
528,5:28
529,5:29
530,5:30
531,5:31
532,5:32
533,5:33
534,5:34
535,5:35
536,5:36
537,5:37
538,5:38
539,5:39
540,5:40
541,5:41
542,5:42
543,5:43
544,5:44
545,5:45
546,5:46
547,5:47
548,5:48
549,5:49
550,5:50
551,5:51
552,5:52
553,5:53
554,5:54
555,5:55
556,5:56
557,5:57
558,5:58
559,5:59
600,6:00
601,6:01
602,6:02
603,6:03
604,6:04
605,6:05
606,6:06
607,6:07
608,6:08
609,6:09
610,6:10
611,6:11
612,6:12
613,6:13
614,6:14
615,6:15
616,6:16
617,6:17
618,6:18
619,6:19
620,6:20
621,6:21
622,6:22
623,6:23
624,6:24
625,6:25
626,6:26
627,6:27
628,6:28
629,6:29
630,6:30
631,6:31
632,6:32
633,6:33
634,6:34
635,6:35
636,6:36
637,6:37
638,6:38
639,6:39
640,6:40
641,6:41
642,6:42
643,6:43
644,6:44
645,6:45
646,6:46
647,6:47
648,6:48
649,6:49
650,6:50
651,6:51
652,6:52
653,6:53
654,6:54
655,6:55
656,6:56
657,6:57
658,6:58
659,6:59
700,7:00
701,7:01
702,7:02
703,7:03
704,7:04
705,7:05
706,7:06
707,7:07
708,7:08
709,7:09
710,7:10
711,7:11
712,7:12
713,7:13
714,7:14
715,7:15
716,7:16
717,7:17
718,7:18
719,7:19
720,7:20
721,7:21
722,7:22
723,7:23
724,7:24
725,7:25
726,7:26
727,7:27
728,7:28
729,7:29
730,7:30
731,7:31
732,7:32
733,7:33
734,7:34
735,7:35
736,7:36
737,7:37
738,7:38
739,7:39
740,7:40
741,7:41
742,7:42
743,7:43
744,7:44
745,7:45
746,7:46
747,7:47
748,7:48
749,7:49
750,7:50
751,7:51
752,7:52
753,7:53
754,7:54
755,7:55
756,7:56
757,7:57
758,7:58
759,7:59
800,8:00
801,8:01
802,8:02
803,8:03
804,8:04
805,8:05
806,8:06
807,8:07
808,8:08
809,8:09
810,8:10
811,8:11
812,8:12
813,8:13
814,8:14
815,8:15
816,8:16
817,8:17
818,8:18
819,8:19
820,8:20
821,8:21
822,8:22
823,8:23
824,8:24
825,8:25
826,8:26
827,8:27
828,8:28
829,8:29
830,8:30
831,8:31
832,8:32
833,8:33
834,8:34
835,8:35
836,8:36
837,8:37
838,8:38
839,8:39
840,8:40
841,8:41
842,8:42
843,8:43
844,8:44
845,8:45
846,8:46
847,8:47
848,8:48
849,8:49
850,8:50
851,8:51
